"Prompt","Entities"
"Show me all orders shipped to Germany between January 1st, 2023, and March 31st, 2023","Ship Country: Germany | Start Date: January 1st, 2023 | End Date: March 31st, 2023"
"List all products supplied by Exotic Liquids that are currently out of stock","Supplier Name: Exotic Liquids | Units In Stock: 0 (Out of Stock)"
"Who are the customers from London who have placed orders in the last month","Customer City: London | Order Date: Last month"
"Find employees who report to Andrew Fuller","Manager Name: Andrew Fuller | Relationship: Reports To"
"Get me a list of all discontinued products","Discontinued Status: Yes (True)"
"Which products are in the Beverages category and cost more than $20 per unit","Category Name: Beverages | Unit Price: Greater than $20"
"Show orders that were shipped via Speedy Express in December 2022","Shipper Name: Speedy Express | Ship Date: December 2022"
"List all employees hired after January 1st, 2020","Hire Date: After January 1st, 2020"
"Which customers have not placed any orders in the past year","Time Frame: Past year | Order Count: Zero (No orders)"
"Find the top 5 most expensive products","Order By: Unit Price descending | Limit: Top 5"
"How many orders were placed by the customer with CustomerID ALFKI","Customer ID: ALFKI | Calculation: Count of Orders"
"Retrieve all orders containing the product Chai","Product Name: Chai"
"Get the total sales amount for orders shipped to France in 2023","Ship Country: France | Year: 2023 | Calculation: Total Sales Amount"
"Show me the list of suppliers located in the USA","Supplier Country: USA"
"Which products need to be reordered","Condition: Units In Stock less than Reorder Level"
"List the customers who have purchased products from the Seafood category","Category Name: Seafood | Customer Action: Purchased products in this category"
"Find orders placed between March 1st and March 31st, 2023, sorted by order date","Start Date: March 1st, 2023 | End Date: March 31st, 2023 | Order By: Order Date ascending"
"Get a list of employees with the title Sales Representative","Job Title: Sales Representative"
"Show all customers located in the Eastern region","Region Description: Eastern | Entity Type: Customers"
"Find the average unit price of products in the Confections category","Category Name: Confections | Calculation: Average Unit Price"
"List orders where the shipped date is after the required date","Condition: Shipped Date greater than Required Date"
"Which employees are not assigned to any territories","Employee Territory Assignment: None"
"Show the total number of orders handled by Nancy Davolio","Employee Name: Nancy Davolio | Calculation: Total Orders Handled"
"Find all shippers with phone numbers starting with 503","Phone Number Prefix: 503 | Entity Type: Shippers"
"Get the names of customers who have ordered both Chang and Aniseed Syrup","Product Names: Chang, Aniseed Syrup | Customer Action: Ordered both products"
"List the top 3 categories with the highest number of products","Calculation: Product Count per Category | Order By: Product Count descending | Limit: Top 3"
"Find suppliers who supply products in both Seafood and Produce categories","Categories: Seafood, Produce | Supplier Action: Supplies products in both categories"
"Retrieve orders with a total discount greater than 10%","Calculation: Total Discount per Order greater than 10%"
"Which employees have birthdays this month","Birth Date: Month equals current month"
"Show me all orders where the freight cost exceeds $100","Freight Cost: Greater than $100"
